Galaxy identifier,Assumed distance (Mpc),Galactocentric radius (kpc),Galactocentric radius (m),Observed circular velocity (km/s),Observed circular velocity (m/s),Uncertainy in v obs (km/s),Gas velocity contribution (km/s),Gas velocity contribution (m/s),Disk velocity contribution (km/s),Disk velocity contribution (m/s),Bulge velocity contribution (km/s),Bulge velocity contribution (m/s),Disk surface brightness (solLum/pc2),Bulge surface brightness (solLum/pc2)
NGC2903,6.6,9.6,2.96256E+20,201,201000,1,27.64,27640,199.24,199240,0,0,14.07,0
NGC2903,6.6,10.56,3.25882E+20,199,199000,1,32.7,32700,189.8,189800,0,0,10.06,0
NGC2903,6.6,11.52,3.55507E+20,197,197000,1,37.22,37220,181.59,181590,0,0,6.57,0
NGC2903,6.6,12.48,3.85133E+20,196,196000,2,37.86,37860,174.1,174100,0,0,4.46,0
NGC2903,6.6,13.44,4.14758E+20,193,193000,3,36.33,36330,167.37,167370,0,0,2.89,0
NGC2903,6.6,14.4,4.44384E+20,190,190000,3,35.33,35330,161.19,161190,0,0,1.89,0
NGC2903,6.6,15.36,4.7401E+20,188,188000,5,35.01,35010,155.25,155250,0,0,1.25,0
NGC2903,6.6,16.32,5.03635E+20,187,187000,5,34.43,34430,150.2,150200,0,0,0.83,0
NGC2903,6.6,17.28,5.33261E+20,188,188000,3,33.18,33180,145.58,145580,0,0,0.55,0
NGC2903,6.6,18.24,5.62886E+20,186,186000,3,32.48,32480,141.36,141360,0,0,0.37,0
NGC2903,6.6,19.2,5.92512E+20,185,185000,3,31.94,31940,137.48,137480,0,0,0.24,0
NGC2903,6.6,20.16,6.22138E+20,185,185000,3,31.23,31230,133.91,133910,0,0,0.16,0
NGC2903,6.6,21.12,6.51763E+20,181,181000,3,30.85,30850,130.6,130600,0,0,0.11,0
NGC2903,6.6,22.08,6.81389E+20,178,178000,3,30.69,30690,127.55,127550,0,0,0.07,0
NGC2903,6.6,23.04,7.11014E+20,177,177000,3,30.33,30330,124.7,124700,0,0,0.05,0
NGC2903,6.6,24,7.4064E+20,182,182000,4,30.72,30720,122.05,122050,0,0,0.03,0
NGC2903,6.6,24.96,7.70266E+20,180,180000,8,30.86,30860,119.57,119570,0,0,0,0
NGC2915,4.06,0.34,1.04924E+19,13.5,13500,10.1,4.08,4080,44.78,44780,0,0,329.95,0
NGC2915,4.06,0.67,2.06762E+19,31.3,31300,12.5,7.65,7650,48.88,48880,0,0,91.07,0
NGC2915,4.06,1,3.086E+19,35.3,35300,13.4,10.36,10360,46.82,46820,0,0,36.28,0
NGC2915,4.06,1.34,4.13524E+19,50.5,50500,9.38,11.92,11920,43.88,43880,0,0,16.86,0
NGC2915,4.06,1.68,5.18448E+19,61,61000,10.1,12.33,12330,40.74,40740,0,0,8.72,0
NGC2915,4.06,2.01,6.20286E+19,66.5,66500,11.9,12.44,12440,38.01,38010,0,0,4.56,0
NGC2915,4.06,2.34,7.22124E+19,74.4,74400,11.6,12.54,12540,35.66,35660,0,0,2.91,0
NGC2915,4.06,2.67,8.23962E+19,83,83000,9.17,12.44,12440,33.66,33660,0,0,1.6,0
NGC2915,4.06,3.01,9.28886E+19,86.4,86400,7.66,12.13,12130,31.74,31740,0,0,0.88,0
NGC2915,4.06,3.35,1.03381E+20,83.6,83600,8.18,12.02,12020,29.95,29950,0,0,0.43,0
NGC2915,4.06,3.68,1.13565E+20,79.8,79800,7.93,12.54,12540,28.46,28460,0,0,0.24,0
NGC2915,4.06,4.02,1.24057E+20,82.8,82800,6.95,13.47,13470,27.13,27130,0,0,0.13,0
NGC2915,4.06,4.35,1.34241E+20,83.5,83500,7.19,14.61,14610,25.93,25930,0,0,0.07,0
NGC2915,4.06,4.68,1.44425E+20,80.4,80400,7.85,15.44,15440,24.93,24930,0,0,0.04,0
NGC2915,4.06,5.02,1.54917E+20,80.3,80300,7.57,15.86,15860,24,24000,0,0,0.02,0
NGC2915,4.06,5.35,1.65101E+20,82.1,82100,7.92,15.86,15860,23.2,23200,0,0,0.01,0
NGC2915,4.06,5.69,1.75593E+20,82.4,82400,8.33,15.65,15650,22.42,22420,0,0,0.01,0
NGC2915,4.06,6.03,1.86086E+20,80.9,80900,7.88,15.44,15440,21.74,21740,0,0,0,0
NGC2915,4.06,6.36,1.9627E+20,79,79000,6.15,15.65,15650,21.15,21150,0,0,0,0
NGC2915,4.06,6.69,2.06453E+20,81.4,81400,6.11,16.27,16270,20.57,20570,0,0,0,0
NGC2915,4.06,7.02,2.16637E+20,79.7,79700,5.59,17.1,17100,20.07,20070,0,0,0,0
NGC2915,4.06,7.36,2.2713E+20,77.5,77500,6.33,17.83,17830,19.59,19590,0,0,0,0
NGC2915,4.06,7.7,2.37622E+20,79.9,79900,6.41,17.93,17930,19.12,19120,0,0,0,0
NGC2915,4.06,8.03,2.47806E+20,81.5,81500,7.86,18.24,18240,18.72,18720,0,0,0,0
NGC2915,4.06,8.37,2.58298E+20,82.2,82200,7.82,18.65,18650,18.33,18330,0,0,0,0
NGC2915,4.06,8.7,2.68482E+20,82,82000,7.09,18.97,18970,17.95,17950,0,0,0,0
NGC2915,4.06,9.03,2.78666E+20,84.7,84700,5.74,19.38,19380,17.62,17620,0,0,0,0
NGC2915,4.06,9.37,2.89158E+20,86.1,86100,5.54,19.59,19590,17.3,17300,0,0,0,0
NGC2915,4.06,9.7,2.99342E+20,85.3,85300,5.23,19.9,19900,16.98,16980,0,0,0,0
NGC2915,4.06,10.04,3.09834E+20,86.5,86500,6.45,19.9,19900,16.69,16690,0,0,0,0
NGC2955,97.9,0.75,2.3145E+19,169,169000,4.27,0,0,53.73,53730,163.04,163040,1391.81,4469.43
NGC2955,97.9,1.55,4.7833E+19,203,203000,4.92,0.16,160,99.45,99450,214.33,214330,1172.91,2105.83
NGC2955,97.9,2.3,7.0978E+19,232,232000,5.49,0,0,134.15,134150,231.92,231920,999.07,1340.93
NGC2955,97.9,3.06,9.44316E+19,256,256000,4.38,1.12,1120,162.98,162980,250.27,250270,849.17,745.19
NGC2955,97.9,3.85,1.18811E+20,248,248000,3.47,10.81,10810,187.48,187480,252.3,252300,717.13,308.69
NGC2955,97.9,4.61,1.42265E+20,253,253000,5.68,18.83,18830,206.85,206850,245.12,245120,606.7,124.46
NGC2955,97.9,5.36,1.6541E+20,269,269000,8.42,25.11,25110,220.81,220810,233.77,233770,503.2,47.18
NGC2955,97.9,6.12,1.88863E+20,268,268000,4.67,29.26,29260,232.37,232370,221.48,221480,437.22,17.54
NGC2955,97.9,6.91,2.13243E+20,260,260000,5.58,31.48,31480,243.48,243480,209.61,209610,380.24,6.29
NGC2955,97.9,7.66,2.36388E+20,245,245000,8.47,32.44,32440,254.23,254230,199.62,199620,318.5,2.38
NGC2955,97.9,8.42,2.59841E+20,247,247000,6,32.35,32350,258.51,258510,190.58,190580,235.35,0.89
NGC2955,97.9,8.86,2.7342E+20,267,267000,10.3,32.44,32440,258.41,258410,185.85,185850,200.23,0.5
NGC2955,97.9,9.21,2.84221E+20,255,255000,7.27,32.44,32440,257.39,257390,182.29,182290,180.71,0.32
NGC2955,97.9,10.82,3.33905E+20,253,253000,11.2,33.51,33510,252.03,252030,168.18,168180,131.46,0.04
NGC2955,97.9,11.56,3.56742E+20,271,271000,11.3,34.86,34860,249.34,249340,162.76,162760,112.34,0.02
NGC2955,97.9,12.4,3.82664E+20,276,276000,8.71,37.47,37470,246.01,246010,157.16,157160,103.42,0.01
NGC2955,97.9,14.17,4.37286E+20,275,275000,10.1,44.03,44030,245.22,245220,146.96,146960,81.02,0
NGC2955,97.9,16.88,5.20917E+20,275,275000,10,57.16,57160,236.05,236050,134.67,134670,50.98,0
NGC2955,97.9,19.49,6.01461E+20,276,276000,11.7,67.4,67400,232.49,232490,125.34,125340,36.11,0
NGC2955,97.9,22.19,6.84783E+20,267,267000,15.7,77.25,77250,219.85,219850,117.47,117470,17.62,0
NGC2955,97.9,24.8,7.65328E+20,257,257000,15.1,79.95,79950,209.2,209200,111.12,111120,12.8,0
NGC2955,97.9,27.51,8.48959E+20,254,254000,13.6,78.21,78210,199.59,199590,105.5,105500,9.61,0
NGC2955,97.9,30.12,9.29503E+20,248,248000,11.6,75.51,75510,191.82,191820,100.83,100830,6.7,0
NGC2955,97.9,35.43,1.09337E+21,227,227000,11.2,77.83,77830,176.46,176460,92.96,92960,3.71,0
NGC2976,3.58,0.11,3.3946E+18,6.8,6800,3.62,1.06,1060,11.98,11980,0,0,401.24,0
NGC2976,3.58,0.17,5.2462E+18,9.5,9500,4.31,1.76,1760,15.44,15440,0,0,385.05,0
NGC2976,3.58,0.24,7.4064E+18,14,14000,3.11,2.47,2470,19.52,19520,0,0,353.55,0
NGC2976,3.58,0.31,9.5666E+18,19.8,19800,5.5,2.93,2930,23.11,23110,0,0,326.8,0
NGC2976,3.58,0.38,1.17268E+19,26.1,26100,3.9,3.29,3290,26.27,26270,0,0,306.5,0
NGC2976,3.58,0.45,1.3887E+19,28.7,28700,3.5,3.99,3990,29.18,29180,0,0,294.93,0
NGC2976,3.58,0.52,1.60472E+19,28.7,28700,2.7,4.46,4460,32.19,32190,0,0,286.81,0
NGC2976,3.58,0.59,1.82074E+19,31.7,31700,2.5,4.93,4930,35.22,35220,0,0,277.28,0
NGC2976,3.58,0.66,2.03676E+19,35.5,35500,2.3,5.88,5880,38.01,38010,0,0,266.34,0
NGC2976,3.58,0.73,2.25278E+19,39.4,39400,2.1,6.93,6930,40.66,40660,0,0,258.37,0
NGC2976,3.58,0.8,2.4688E+19,42.9,42900,2.3,7.52,7520,43.36,43360,0,0,250.06,0
NGC2976,3.58,0.87,2.68482E+19,46,46000,2.6,8.45,8450,45.92,45920,0,0,244.56,0
NGC2976,3.58,0.94,2.90084E+19,49.1,49100,3.1,9.28,9280,48.76,48760,0,0,245.53,0
NGC2976,3.58,1.01,3.11686E+19,49.2,49200,3.2,10.11,10110,52.24,52240,0,0,248.27,0
NGC2976,3.58,1.08,3.33288E+19,51.4,51400,3.2,11.31,11310,55.81,55810,0,0,237.88,0
NGC2976,3.58,1.14,3.51804E+19,57.2,57200,3.1,13.04,13040,58.54,58540,0,0,230,0
NGC2976,3.58,1.21,3.73406E+19,63.8,63800,2.9,15.48,15480,61.95,61950,0,0,228.85,0
NGC2976,3.58,1.29,3.98094E+19,67.8,67800,2.8,17.62,17620,66.07,66070,0,0,216.32,0
NGC2976,3.58,1.35,4.1661E+19,69.8,69800,3.3,19.66,19660,68.88,68880,0,0,203.26,0
NGC2976,3.58,1.42,4.38212E+19,71.7,71700,3.9,21.7,21700,71.85,71850,0,0,189.42,0
NGC2976,3.58,1.49,4.59814E+19,74.1,74100,4.4,23.73,23730,74.58,74580,0,0,174.06,0
NGC2976,3.58,1.56,4.81416E+19,76.7,76700,4.8,25.98,25980,76.94,76940,0,0,155.41,0
NGC2976,3.58,1.63,5.03018E+19,79.9,79900,4.4,27.71,27710,78.73,78730,0,0,134.59,0
NGC2976,3.58,1.74,5.36964E+19,83.6,83600,3.35,30.15,30150,80.17,80170,0,0,99.94,0
NGC2976,3.58,1.93,5.95598E+19,83.9,83900,3.95,29.44,29440,78.52,78520,0,0,58.42,0
NGC2976,3.58,2.1,6.4806E+19,88.7,88700,4.44,29.75,29750,75.56,75560,0,0,46.09,0
NGC2976,3.58,2.27,7.00522E+19,85.3,85300,5.36,29.85,29850,73.66,73660,0,0,41.53,0
NGC2998,68.1,0.33,1.01838E+19,90,90000,20,0,0,44.56,44560,0,0,2070.29,0
NGC2998,68.1,0.99,3.05514E+19,125,125000,15,0.66,660,93.23,93230,0,0,1190.44,0
NGC2998,68.1,1.98,6.11028E+19,148,148000,15,2.66,2660,132.13,132130,0,0,888.44,0
NGC2998,68.1,2.64,8.14704E+19,180,180000,17,4.03,4030,154.64,154640,0,0,784.11,0
NGC2998,68.1,3.63,1.12022E+20,201,201000,15,6.22,6220,196.69,196690,0,0,702.55,0
NGC2998,68.1,7.59,2.34227E+20,206,206000,10,16.84,16840,221.58,221580,0,0,192.87,0
NGC2998,68.1,12.5,3.8575E+20,214,214000,5,32.06,32060,213.19,213190,0,0,56.1,0
NGC2998,68.1,17.48,5.39433E+20,212,212000,5,44.76,44760,198.92,198920,0,0,17.41,0
NGC2998,68.1,22.46,6.93116E+20,213,213000,2,52.43,52430,175.78,175780,0,0,10.54,0
NGC2998,68.1,27.44,8.46798E+20,214,214000,2,58.37,58370,162.69,162690,0,0,5.26,0
NGC2998,68.1,32.32,9.97395E+20,213,213000,2,63.92,63920,151.18,151180,0,0,2.5,0
NGC2998,68.1,37.3,1.15108E+21,213,213000,3,66.04,66040,139.68,139680,0,0,0.96,0
NGC2998,68.1,42.28,1.30476E+21,203,203000,3,64.42,64420,130.09,130090,0,0,0.33,0
NGC3109,1.33,0.26,8.0236E+18,6.1,6100,1.6,1,1000,2.78,2780,0,0,10.55,0
NGC3109,1.33,0.52,1.60472E+19,11.2,11200,0.7,2.12,2120,4.73,4730,0,0,8.77,0
NGC3109,1.33,0.77,2.37622E+19,14.9,14900,1.5,4.53,4530,7,7000,0,0,8.41,0
NGC3109,1.33,1.03,3.17858E+19,19.1,19100,2.2,6.54,6540,8.59,8590,0,0,7.93,0
NGC3109,1.33,1.29,3.98094E+19,24.3,24300,0.9,8.22,8220,10.63,10630,0,0,6.67,0
NGC3109,1.33,1.55,4.7833E+19,29.8,29800,1.9,10.06,10060,11.72,11720,0,0,5.17,0
NGC3109,1.33,1.81,5.58566E+19,34.3,34300,1.6,11.73,11730,12.56,12560,0,0,4.71,0
NGC3109,1.33,2.06,6.35716E+19,38.2,38200,3.5,12.92,12920,13.39,13390,0,0,3.81,0
NGC3109,1.33,2.32,7.15952E+19,42.5,42500,5.6,13.76,13760,13.69,13690,0,0,2.97,0
NGC3109,1.33,2.58,7.96188E+19,42.3,42300,3,14.44,14440,13.73,13730,0,0,2.43,0
NGC3109,1.33,2.84,8.76424E+19,47.3,47300,4.4,15.04,15040,13.74,13740,0,0,2.3,0
NGC3109,1.33,3.1,9.5666E+19,49.3,49300,4,15.37,15370,14.32,14320,0,0,2.42,0
NGC3109,1.33,3.35,1.03381E+20,50.6,50600,3.5,15.75,15750,15.08,15080,0,0,1.97,0
NGC3109,1.33,3.61,1.11405E+20,53,53000,3.5,16.29,16290,15.34,15340,0,0,1.22,0
NGC3109,1.33,3.87,1.19428E+20,54.7,54700,3.3,16.37,16370,14.77,14770,0,0,0.78,0
NGC3109,1.33,4.13,1.27452E+20,55.2,55200,3.1,16.42,16420,14.16,14160,0,0,0.69,0
NGC3109,1.33,4.38,1.35167E+20,57.5,57500,2.6,16.88,16880,13.87,13870,0,0,0.81,0
NGC3109,1.33,4.64,1.4319E+20,59.1,59100,2.4,17.22,17220,13.96,13960,0,0,0.75,0
NGC3109,1.33,4.9,1.51214E+20,61.2,61200,1.9,17.66,17660,14.01,14010,0,0,0.64,0
NGC3109,1.33,5.16,1.59238E+20,62.7,62700,1.9,18.09,18090,14.01,14010,0,0,0.51,0
NGC3109,1.33,5.42,1.67261E+20,64.4,64400,2.9,18.73,18730,13.96,13960,0,0,0.43,0
NGC3109,1.33,5.67,1.74976E+20,66.6,66600,3.2,19.3,19300,13.99,13990,0,0,0.36,0
NGC3109,1.33,5.93,1.83E+20,66.3,66300,3.4,19.36,19360,13.93,13930,0,0,0,0
NGC3109,1.33,6.19,1.91023E+20,66.2,66200,3.2,19.43,19430,13.15,13150,0,0,0,0
NGC3109,1.33,6.45,1.99047E+20,67.3,67300,3,19.41,19410,12.62,12620,0,0,0,0
NGC3198,13.8,0.32,9.8752E+18,24.4,24400,35.9,0,0,63.28,63280,0,0,1084.92,0
NGC3198,13.8,0.64,1.97504E+19,43.3,43300,16.3,0,0,73.66,73660,0,0,590.57,0
NGC3198,13.8,0.96,2.96256E+19,45.5,45500,16.1,0,0,78.98,78980,0,0,410.97,0
NGC3198,13.8,1.28,3.95008E+19,58.5,58500,15.4,0.35,350,82.7,82700,0,0,329.34,0
NGC3198,13.8,1.61,4.96846E+19,68.8,68800,7.61,0.15,150,84.22,84220,0,0,268.62,0
NGC3198,13.8,1.93,5.95598E+19,76.9,76900,10.3,-0.05,-50,83.17,83170,0,0,247.67,0
NGC3198,13.8,2.24,6.91264E+19,82,82000,8.09,-0.47,-470,87.04,87040,0,0,227.56,0
NGC3198,13.8,2.57,7.93102E+19,86.9,86900,7.6,-0.95,-950,88.91,88910,0,0,205.02,0
NGC3198,13.8,2.89,8.91854E+19,97.6,97600,3.03,-1.43,-1430,88.98,88980,0,0,200.2,0
NGC3198,13.8,3.21,9.90606E+19,100,100000,5.31,-1.14,-1140,93.81,93810,0,0,208.58,0
NGC3198,13.8,3.54,1.09244E+20,107,107000,7.51,-0.39,-390,101.22,101220,0,0,208.47,0
NGC3198,13.8,3.85,1.18811E+20,113,113000,7.32,0.36,360,108.53,108530,0,0,196.07,0
NGC3198,13.8,4.17,1.28686E+20,117,117000,5.21,1.52,1520,115.51,115510,0,0,179.96,0
NGC3198,13.8,4.5,1.3887E+20,119,119000,5.67,3.07,3070,120.51,120510,0,0,164.19,0
NGC3198,13.8,4.82,1.48745E+20,127,127000,5.39,4.63,4630,125.42,125420,0,0,150.99,0
NGC3198,13.8,5.15,1.58929E+20,132,132000,4.34,6.02,6020,129.4,129400,0,0,138.08,0
NGC3198,13.8,5.46,1.68496E+20,134,134000,2.36,7.16,7160,133.15,133150,0,0,126,0
NGC3198,13.8,5.78,1.78371E+20,137,137000,0.89,8.31,8310,136.45,136450,0,0,113.63,0
NGC3198,13.8,6.1,1.88246E+20,140,140000,2.84,9.46,9460,139.41,139410,0,0,101.19,0
NGC3198,13.8,6.43,1.9843E+20,142,142000,0.88,10.61,10610,141.85,141850,0,0,86.52,0
NGC3198,13.8,6.74,2.07996E+20,144,144000,1.23,11.77,11770,142.32,142320,0,0,70.23,0
NGC3198,13.8,7.06,2.17872E+20,146,146000,1.57,12.87,12870,140.94,140940,0,0,57.67,0
NGC3198,13.8,8.04,2.48114E+20,147,147000,3,16.39,16390,135.68,135680,0,0,40.74,0
NGC3198,13.8,9.04,2.78974E+20,148,148000,3,20.03,20030,130.79,130790,0,0,31.83,0
NGC3198,13.8,10.04,3.09834E+20,152,152000,2,23.68,23680,128.1,128100,0,0,26.64,0
NGC3198,13.8,11.04,3.40694E+20,155,155000,2,27.08,27080,126.67,126670,0,0,21.02,0
NGC3198,13.8,12.05,3.71863E+20,156,156000,2,30.11,30110,124.98,124980,0,0,15.42,0
NGC3198,13.8,14.05,4.33583E+20,157,157000,2,34.48,34480,118.12,118120,0,0,6.42,0
NGC3198,13.8,16.07,4.9592E+20,153,153000,2,36.43,36430,108.22,108220,0,0,2.95,0
NGC3198,13.8,18.13,5.59492E+20,153,153000,2,37.76,37760,101.1,101100,0,0,2.39,0
NGC3198,13.8,20.05,6.18743E+20,154,154000,2,39.83,39830,96.4,96400,0,0,1.44,0
NGC3198,13.8,22.12,6.82623E+20,153,153000,2,40.92,40920,91.56,91560,0,0,0.72,0
NGC3198,13.8,24.03,7.41566E+20,150,150000,2,41.77,41770,87.03,87030,0,0,0.28,0
NGC3198,13.8,26.1,8.05446E+20,149,149000,2,43.71,43710,82.67,82670,0,0,0.16,0
NGC3198,13.8,28.16,8.69018E+20,148,148000,2,45.41,45410,79.06,79060,0,0,0.08,0
NGC3198,13.8,30.08,9.28269E+20,146,146000,2,45.29,45290,76.07,76070,0,0,0.04,0
NGC3198,13.8,32.14,9.9184E+20,147,147000,2,44.56,44560,73.27,73270,0,0,0.02,0
NGC3198,13.8,34.06,1.05109E+21,148,148000,2,44.81,44810,70.91,70910,0,0,0.01,0
NGC3198,13.8,36.12,1.11466E+21,148,148000,2,45.9,45900,68.62,68620,0,0,0.01,0
NGC3198,13.8,38.19,1.17854E+21,149,149000,2,46.75,46750,66.59,66590,0,0,0,0
NGC3198,13.8,40.1,1.23749E+21,150,150000,2,47.48,47480,64.84,64840,0,0,0,0
NGC3198,13.8,42.17,1.30137E+21,150,150000,3,48.93,48930,63.1,63100,0,0,0,0
NGC3198,13.8,44.08,1.36031E+21,149,149000,3,47.84,47840,61.63,61630,0,0,0,0
NGC3521,7.7,0.51,1.57386E+19,143,143000,33.1,-3.74,-3740,195.66,195660,0,0,5592.84,0
NGC3521,7.7,0.69,2.12934E+19,160,160000,15,-4.96,-4960,213.36,213360,0,0,4363.43,0
NGC3521,7.7,0.86,2.65396E+19,178,178000,7.92,-6.2,-6200,228.63,228630,0,0,3675.14,0
NGC3521,7.7,1.03,3.17858E+19,188,188000,8.01,-7.39,-7390,242.31,242310,0,0,2808.28,0
NGC3521,7.7,1.2,3.7032E+19,187,187000,8.03,-8.46,-8460,244.99,244990,0,0,2150.5,0
NGC3521,7.7,1.38,4.25868E+19,195,195000,5.6,-9.15,-9150,248.08,248080,0,0,2033.53,0
NGC3521,7.7,1.55,4.7833E+19,199,199000,7.52,-9.58,-9580,251.75,251750,0,0,1846.64,0
NGC3521,7.7,1.71,5.27706E+19,203,203000,6.87,-9.77,-9770,258.35,258350,0,0,1668.78,0
NGC3521,7.7,1.89,5.83254E+19,206,206000,9.22,-9.95,-9950,262.92,262920,0,0,1505.22,0
NGC3521,7.7,2.06,6.35716E+19,211,211000,12,-9.95,-9950,270.25,270250,0,0,1378.94,0
NGC3521,7.7,2.23,6.88178E+19,219,219000,13.3,-9.95,-9950,275.1,275100,0,0,1175.03,0
NGC3521,7.7,2.41,7.43726E+19,216,216000,9.9,-10.14,-10140,276.83,276830,0,0,926.08,0
NGC3521,7.7,2.58,7.96188E+19,214,214000,10.5,-10.6,-10600,274.55,274550,0,0,830.56,0
NGC3521,7.7,2.75,8.4865E+19,213,213000,8.39,-11.16,-11160,274.06,274060,0,0,769.64,0
NGC3521,7.7,2.92,9.01112E+19,210,210000,13.3,-11.53,-11530,273.74,273740,0,0,727.61,0
NGC3521,7.7,3.09,9.53574E+19,214,214000,6.67,-11.25,-11250,275.23,275230,0,0,682.48,0
NGC3521,7.7,3.26,1.00604E+20,213,213000,9.98,-9.77,-9770,276.33,276330,0,0,633.6,0
NGC3521,7.7,3.43,1.0585E+20,212,212000,11.2,-7.06,-7060,278.46,278460,0,0,575.82,0
NGC3521,7.7,3.61,1.11405E+20,215,215000,9.11,2.4,2400,278.97,278970,0,0,523.07,0
NGC3521,7.7,3.78,1.16651E+20,217,217000,10.1,7.87,7870,280.87,280870,0,0,481.98,0
NGC3521,7.7,3.95,1.21897E+20,219,219000,8.05,10.51,10510,281.76,281760,0,0,430.64,0
NGC3521,7.7,4.12,1.27143E+20,220,220000,8.29,12.28,12280,282.78,282780,0,0,369.64,0
NGC3521,7.7,4.29,1.32389E+20,218,218000,8.42,13.95,13950,281.57,281570,0,0,310.22,0
NGC3521,7.7,4.46,1.37636E+20,220,220000,9.71,15.63,15630,279.92,279920,0,0,258.02,0
NGC3521,7.7,4.64,1.4319E+20,220,220000,20.1,17.49,17490,276.26,276260,0,0,208.23,0
NGC3521,7.7,4.81,1.48437E+20,216,216000,23.5,19.07,19070,272.38,272380,0,0,177.5,0
NGC3521,7.7,4.98,1.53683E+20,220,220000,14.6,20,20000,268.13,268130,0,0,157.71,0
NGC3521,7.7,5.15,1.58929E+20,218,218000,12.2,20.46,20460,264.51,264510,0,0,143.45,0
NGC3521,7.7,5.32,1.64175E+20,213,213000,23.1,20.65,20650,260.81,260810,0,0,128.98,0
NGC3521,7.7,5.49,1.69421E+20,215,215000,21.2,20.74,20740,257.41,257410,0,0,118.36,0
NGC3521,7.7,5.67,1.74976E+20,216,216000,18.3,21.02,21020,254.02,254020,0,0,108.99,0
NGC3521,7.7,5.84,1.80222E+20,208,208000,31.7,21.3,21300,251.09,251090,0,0,100.28,0
NGC3521,7.7,6.01,1.85469E+20,212,212000,25.3,21.67,21670,248.27,248270,0,0,93.06,0
NGC3521,7.7,6.19,1.91023E+20,213,213000,23.8,22.04,22040,245.66,245660,0,0,85.94,0
NGC3521,7.7,6.35,1.95961E+20,216,216000,19.6,22.51,22510,243.33,243330,0,0,77.79,0
NGC3521,7.7,6.64,2.0491E+20,210,210000,25,23.63,23630,238.82,238820,0,0,62.26,0
NGC3521,7.7,8.82,2.72185E+20,210,210000,10.7,34.97,34970,209.65,209650,0,0,27.97,0
NGC3521,7.7,11.07,3.4162E+20,210,210000,10.7,43.44,43440,188.05,188050,0,0,11.92,0
NGC3521,7.7,13.32,4.11055E+20,206,206000,6.25,45.95,45950,172.02,172020,0,0,6.19,0
NGC3521,7.7,15.49,4.78021E+20,206,206000,6.25,45.39,45390,159.31,159310,0,0,1.91,0
NGC3521,7.7,17.74,5.47456E+20,206,206000,10.7,42.23,42230,147.38,147380,0,0,0,0
NGC3726,18,3.5,1.0801E+20,102,102000,7,0,0,138.23,138230,0,0,367.95,0
NGC3726,18,5.24,1.61706E+20,125,125000,6.1,0,0,163.99,163990,0,0,200.43,0
NGC3726,18,6.98,2.15403E+20,145,145000,4.9,8.76,8760,177.95,177950,0,0,156.27,0
NGC3726,18,8.72,2.69099E+20,164,164000,3.9,23.82,23820,182.72,182720,0,0,66.34,0
NGC3726,18,10.47,3.23104E+20,162,162000,4.8,31.14,31140,173.68,173680,0,0,42.03,0
NGC3726,18,12.19,3.76183E+20,160,160000,4.8,37.29,37290,166.41,166410,0,0,26.8,0
NGC3726,18,13.94,4.30188E+20,156,156000,4.8,46.45,46450,159.41,159410,0,0,15.65,0
NGC3726,18,16.03,4.94686E+20,146,146000,4.85,53.13,53130,148.01,148010,0,0,6.69,0
NGC3726,18,22.3,6.88178E+20,158,158000,4.9,48.17,48170,124.21,124210,0,0,1.41,0
NGC3726,18,27.52,8.49267E+20,168,168000,10.6,42.67,42670,109.5,109500,0,0,0.29,0
NGC3726,18,30.08,9.28269E+20,169,169000,10.6,40.52,40520,103.96,103960,0,0,0.14,0
NGC3726,18,32.52,1.00357E+21,167,167000,15.2,39.01,39010,99.53,99530,0,0,0,0
NGC3741,3.21,0.23,7.0978E+18,13.1,13100,2.19,2.45,2450,11.6,11600,0,0,35.93,0
NGC3741,3.21,0.47,1.45042E+19,17.3,17300,2.39,4.75,4750,13.88,13880,0,0,9.96,0
NGC3741,3.21,0.7,2.1602E+19,23.6,23600,2.21,6.71,6710,13.02,13020,0,0,2.76,0
NGC3741,3.21,0.93,2.86998E+19,26.2,26200,2.21,7.8,7800,11.93,11930,0,0,1.21,0
NGC3741,3.21,1.17,3.61062E+19,27.4,27400,2.24,8.39,8390,10.78,10780,0,0,0.32,0
NGC3741,3.21,1.4,4.3204E+19,26.9,26900,2.23,8.84,8840,9.72,9720,0,0,0.1,0
NGC3741,3.21,1.64,5.06104E+19,27.4,27400,2.21,9.23,9230,8.89,8890,0,0,0.03,0
NGC3741,3.21,1.87,5.77082E+19,31,31000,2.2,9.41,9410,8.25,8250,0,0,0.01,0
NGC3741,3.21,2.1,6.4806E+19,32.5,32500,2.19,9.55,9550,7.73,7730,0,0,0,0
NGC3741,3.21,2.33,7.19038E+19,33,33000,2.19,10.05,10050,7.3,7300,0,0,0,0
NGC3741,3.21,2.57,7.93102E+19,36.5,36500,2.2,10.65,10650,6.92,6920,0,0,0,0
NGC3741,3.21,2.8,8.6408E+19,38.9,38900,2.21,11.28,11280,6.62,6620,0,0,0,0
NGC3741,3.21,3.26,1.00604E+20,41.5,41500,2.21,12,12000,6.11,6110,0,0,0,0
NGC3741,3.21,3.73,1.15108E+20,42.7,42700,2.2,12.41,12410,5.7,5700,0,0,0,0
NGC3741,3.21,4.21,1.29921E+20,44.7,44700,2.22,13.14,13140,5.36,5360,0,0,0,0
NGC3741,3.21,4.67,1.44116E+20,46.7,46700,2.24,13.55,13550,5.09,5090,0,0,0,0
